GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000023110.13	Prmt5	-0.693627379387554	4.13478034326353e-105	7.40413076490453e-104	0.002,0.004,0.006	0.004,0.01,0.005	-0.002
ENSMUSG00000023110.13	Prmt5	-0.693627379387554	4.13478034326353e-105	7.40413076490453e-104	0.621,NA,0.0	1.0,0.621,1.0	-0.563
ENSMUSG00000023110.13	Prmt5	-0.693627379387554	4.13478034326353e-105	7.40413076490453e-104	0.006,0.002,0.002	0.005,0.003,0.006	-0.001
ENSMUSG00000023110.13	Prmt5	-0.693627379387554	4.13478034326353e-105	7.40413076490453e-104	0.0,0.005,0.003	0.002,0.004,0.002	0.0
ENSMUSG00000023110.13	Prmt5	-0.693627379387554	4.13478034326353e-105	7.40413076490453e-104	0.006,0.004,0.001	0.005,0.004,0.007	-0.002
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	0.002,0.002,0.007	0.001,0.0,0.001	0.003
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	NA,0.0,0.0	0.38,0.0,0.38	-0.253
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	0.004,0.009,0.005	0.003,0.008,0.005	0.001
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	0.699,0.244,0.898	1.0,1.0,0.437	-0.199
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	0.616,NA,1.0	1.0,1.0,1.0	-0.192
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	1.0,NA,1.0	1.0,0.241,1.0	0.253
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	0.007,0.003,0.006	0.007,0.005,0.006	-0.001
ENSMUSG00000023118.16	Sympk	-0.491838635593348	1.0863193995693401e-61	1.12454826761641e-60	1.0,1.0,1.0	1.0,1.0,0.931	0.023
